﻿DATA_YEAR,OFFENSE_ID,INCIDENT_ID,OFFENSE_TYPE_ID,ATTEMPT_COMPLETE_FLAG,LOCATION_ID,NUM_PREMISES_ENTERED,METHOD_ENTRY_CODE
2019,139334487,114123065,Burglary,C,Residence,,F
2019,139334534,114114955,Burglary,C,Residence,,F
2019,139334535,114123107,Burglary,C,Residence,,N
2019,139334609,114123161,Burglary,C,Residence,,N
2019,139334842,114123327,Burglary,C,Residence,,F
2019,139334902,114123377,Burglary,C,Residence,,F
2019,139334945,114123408,Burglary,C,Residence,,N
2019,139340593,114123426,Burglary,C,Residence,,N
2019,139335767,114119971,Burglary,C,Residence,,F
2019,139346609,114124263,Burglary,C,Residence,,N
2019,139346855,114124425,Burglary,C,Residence,,N
2019,139332847,114121744,Burglary,C,Residence,,N
2019,138332526,113240632,Burglary,C,Residence,,N
2019,138341847,113240634,Burglary,C,Residence,,N
2019,138341850,113240647,Robbery,C,Residence,,
2019,138332594,113240692,Burglary,C,Residence,,F
2019,138332612,113240706,Burglary,C,Residence,,F
2019,138332870,113240908,Burglary,C,Residence,,F
2019,138332885,113235145,Burglary,C,Residence,,N
2019,138337560,113245715,Burglary,C,Residence,,N
2019,145771783,120327904,Burglary,C,Residence,,N
2019,132443044,107963749,Burglary,C,Residence,,N
2019,132463235,107975203,Burglary,A,Residence,,F
2019,132486424,107998284,Burglary,C,Residence,,N
2019,132491294,107999290,Burglary,C,Residence,,N
2019,137244056,112282457,Burglary,C,Commercial,,N
2019,132460618,107979367,Burglary,C,Residence,,N
2019,132460669,107975668,Burglary,C,Residence,,N
2019,132460678,107975672,Burglary,C,Residence,,N
2019,132463859,107981269,Burglary,A,Residence,,F
2019,132467765,107980187,Burglary,C,Residence,,F
2019,132447785,107964902,Burglary,C,Residence,,N
2019,133690565,109098285,Robbery,C,Residence,,
2019,132491957,107993905,Burglary,C,Commercial,,F
2019,133694052,109085596,Burglary,C,Residence,,N
2019,133684743,109094466,Burglary,C,Residence,,N
2019,145764303,120323904,Burglary,C,Commercial,,N
2019,145764335,120323950,Burglary,C,Residence,,N
2019,145764456,120320842,Burglary,C,Residence,,N
2019,133854972,109244184,Burglary,C,Residence,,N
2019,144609174,119327082,Burglary,C,Residence,,F
2019,133855176,109248128,Burglary,A,Residence,,F
2019,133855295,109244501,Burglary,C,Residence,,F
2019,144614309,119327202,Burglary,C,Residence,,N
2019,133855415,109248335,Burglary,C,Residence,,F
2019,144609604,119327646,Burglary,A,Residence,,F
2019,147821150,122123853,Burglary,C,Residence,,N
2019,139351579,114124842,Burglary,C,Residence,,N
2019,147823617,122122878,Burglary,C,Commercial,,F
2019,147819660,122122897,Burglary,C,Residence,,F
2019,138326449,113225504,Burglary,C,Residence,,N
2019,138317508,113220580,Burglary,C,Residence,,N
2019,138326643,113220626,Burglary,C,Residence,,N
2019,138326703,113220674,Burglary,C,Residence,,F
2019,138326942,113220870,Burglary,C,Residence,,F
2019,138328428,113232344,Burglary,C,Residence,,F
2019,138328810,113232610,Burglary,C,Residence,,F
2019,138301883,113216608,Burglary,C,Residence,,F
